City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Booue,GA,79.3,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
123,Atar,MR,79.0,clear sky,20.5169,-13.0499,Oumou Elghoura
132,San Patricio,US,82.4,moderate rain,28.017,-97.5169,"Motel 6 Sinton, TX"
134,Taoudenni,ML,87.78,clear sky,22.6783,-3.9836,
135,Copala,MX,80.67,broken clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
138,Faanui,PF,82.22,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
142,Bambous Virieux,MU,82.4,scattered clouds,-20.3428,57.7575,Casa Tia Villa
145,Ugoofaaru,MV,82.11,moderate rain,5.6667,73.0,Ungoofaaru Inn
148,Vanimo,PG,81.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
149,Mount Isa,AU,82.4,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
150,Aksu,CN,86.83,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
151,Hithadhoo,MV,83.21,moderate rain,-0.6,73.0833,Scoop Guest House
155,Cam Ranh,VN,89.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
156,Hambantota,LK,87.8,broken clouds,6.1241,81.1185,Bungalow 63
158,Sorong,ID,87.51,moderate rain,-0.8833,131.25,waigo splash hotel
160,Luxor,EG,86.0,clear sky,25.6989,32.6421,Iberotel Luxor
161,Puerto Escondido,MX,82.02,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
167,Samarai,PG,81.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
173,Kloulklubed,PW,86.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
178,Mackay,AU,78.01,light rain,-21.15,149.2,International Lodge Motel
180,Cayenne,GF,79.0,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
182,Along,IN,78.17,broken clouds,28.1667,94.7667,Hotel West
190,Sampit,ID,84.92,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
193,Oistins,BB,78.26,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
200,Geraldton,AU,86.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
208,Alugan,PH,83.28,broken clouds,12.2188,125.4808,JM Lodge
211,Lorengau,PG,81.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Alofi,NU,77.0,broken clouds,-19.0595,-169.9187,Taloa Heights
219,Mogadishu,SO,82.04,light rain,2.0371,45.3438,Hotel Juba
220,Eydhafushi,MV,82.58,light rain,5.1033,73.0708,Soneva Fushi
222,Caramay,PH,84.6,overcast clouds,10.1815,119.236,Peace and Love Beach Club
224,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
