City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
103,Yumen,40.2833,97.2,49.35,13,91,8.03,CN,2021-04-27 02:47:57
104,Poum,-20.2333,164.0167,76.53,69,43,23.62,NC,2021-04-27 02:47:58
105,Kidal,18.4411,1.4078,84.72,25,3,5.14,ML,2021-04-27 02:47:58
106,Abu Samrah,35.3029,37.1841,56.68,85,0,9.66,SY,2021-04-27 02:47:58
107,Zemio,5.0314,25.1361,67.93,97,84,3.6,CF,2021-04-27 02:47:58
108,Imeni Poliny Osipenko,52.4201,136.4853,57.61,32,100,11.65,RU,2021-04-27 02:47:59
109,Sorland,67.667,12.6934,37.06,56,51,17.0,NO,2021-04-27 02:47:59
110,Byron Bay,-28.65,153.6167,73.4,56,1,13.8,AU,2021-04-27 02:47:59
111,Comodoro Rivadavia,-45.8667,-67.5,66.2,45,0,25.32,AR,2021-04-27 02:45:01
112,Buayan,6.1164,125.2347,80.6,83,75,5.75,PH,2021-04-27 02:48:00
113,Bredasdorp,-34.5322,20.0403,55.4,94,96,1.14,ZA,2021-04-27 02:43:30
114,Qaanaaq,77.484,-69.3632,34.05,68,100,7.18,GL,2021-04-27 02:48:00
115,Airai,-8.9266,125.4092,74.3,37,55,1.83,TL,2021-04-27 02:48:00
116,Sungaipenuh,-2.0833,101.3833,78.62,61,27,1.19,ID,2021-04-27 02:48:01
117,Saquarema,-22.92,-42.5103,77.0,78,75,3.44,BR,2021-04-27 02:48:01
118,Sao Filipe,14.8961,-24.4956,72.55,73,98,8.95,CV,2021-04-27 02:48:01
119,Constitucion,-35.3333,-72.4167,57.52,62,0,6.4,CL,2021-04-27 02:48:02
120,Sabang,5.8933,95.3214,83.34,71,81,2.55,ID,2021-04-27 02:48:02
121,Cockburn Town,21.4612,-71.1419,78.53,74,2,14.43,TC,2021-04-27 02:47:27
122,Sechura,-5.5569,-80.8222,71.06,73,70,12.93,PE,2021-04-27 02:48:02
123,Kismayo,-0.3582,42.5454,80.78,79,46,6.15,SO,2021-04-27 02:48:03
124,Lavrentiya,65.5833,-171.0,33.4,90,10,0.29,RU,2021-04-27 02:48:03
125,Olafsvik,64.8945,-23.7142,42.51,73,0,6.51,IS,2021-04-27 02:46:38
126,North Platte,41.1239,-100.7654,71.6,40,1,12.66,US,2021-04-27 02:48:03
127,Canutama,-6.5339,-64.3831,73.89,98,100,1.9,BR,2021-04-27 02:48:04
128,Vao,-22.6667,167.4833,72.99,67,8,19.66,NC,2021-04-27 02:48:04
129,Tynda,55.1667,124.7167,38.7,95,100,7.2,RU,2021-04-27 02:48:05
130,Verkhnyaya Toyma,62.2349,44.9985,38.48,98,100,2.26,RU,2021-04-27 02:48:05
131,Torbay,47.6666,-52.7314,42.01,93,90,24.16,CA,2021-04-27 02:48:05
132,Porto Novo,6.4965,2.6036,84.2,84,40,11.5,BJ,2021-04-27 02:46:19
133,Clyde River,70.4692,-68.5914,24.8,100,90,2.3,CA,2021-04-27 02:48:06
134,Awbari,26.5921,12.7805,80.02,21,63,15.23,LY,2021-04-27 02:48:06
135,Pisco,-13.7,-76.2167,64.99,88,0,9.22,PE,2021-04-27 02:43:46
136,Ancud,-41.8697,-73.8203,55.99,100,90,10.36,CL,2021-04-27 02:48:06
137,Kavieng,-2.5744,150.7967,84.25,67,45,2.95,PG,2021-04-27 02:48:07
138,Saint-Francois,46.4154,3.9054,43.0,100,0,0.34,FR,2021-04-27 02:48:07
139,Mehamn,71.0357,27.8492,26.6,68,40,8.05,NO,2021-04-27 02:47:27
140,Acajutla,13.5928,-89.8275,73.0,100,14,1.99,SV,2021-04-27 02:48:07
141,Hilo,19.7297,-155.09,78.8,61,40,9.22,US,2021-04-27 02:48:07
142,Thyboron,56.6985,8.2124,32.0,57,1,9.19,DK,2021-04-27 02:48:08
143,Borogontsy,62.6683,131.1683,32.23,89,100,8.19,RU,2021-04-27 02:48:08
144,Goderich,43.7501,-81.7165,44.6,53,100,9.22,CA,2021-04-27 02:48:08
145,College,64.8569,-147.8028,50.0,37,20,20.71,US,2021-04-27 02:47:09
146,Cherskiy,68.75,161.3,25.59,75,46,6.04,RU,2021-04-27 02:48:09
147,Dikson,73.5069,80.5464,31.73,98,100,17.72,RU,2021-04-27 02:48:09
148,Esperance,-33.8667,121.9,82.4,21,100,20.71,AU,2021-04-27 02:48:09
149,Wenzhou,27.9994,120.6668,62.6,87,100,3.49,CN,2021-04-27 02:48:10
150,Henties Bay,-22.116,14.2845,61.0,90,2,1.99,NA,2021-04-27 02:48:10
151,Labuhan,-6.8844,112.2051,84.58,70,34,5.61,ID,2021-04-27 02:48:10
152,Puerto Carreno,6.189,-67.4859,81.1,74,84,3.42,CO,2021-04-27 02:48:10
153,Coruripe,-10.1256,-36.1756,76.57,86,5,4.99,BR,2021-04-27 02:48:11
154,Sibolga,1.7427,98.7792,82.36,76,97,1.1,ID,2021-04-27 02:48:11
155,Turukhansk,65.8167,87.9833,33.26,90,2,12.71,RU,2021-04-27 02:48:11
156,Lorengau,-2.0226,147.2712,83.75,72,34,2.86,PG,2021-04-27 02:47:57
157,Zhezkazgan,47.8043,67.7144,61.34,25,81,12.93,KZ,2021-04-27 02:48:12
158,Caravelas,-17.7125,-39.2481,74.89,83,67,5.88,BR,2021-04-27 02:48:12
159,Arman,59.7,150.1667,26.24,71,35,3.94,RU,2021-04-27 02:48:12
160,San-Pedro,4.7485,-6.6363,78.94,89,91,5.88,CI,2021-04-27 02:48:13
