City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,Yellowknife,CA,2021-05-11 06:53:39,62.456,-114.3525,30.2,80,75,12.66,broken clouds
93,Makakilo City,US,2021-05-11 06:53:40,21.3469,-158.0858,77.0,73,1,4.61,clear sky
94,Hami,CN,2021-05-11 06:49:06,42.8,93.45,86.04,17,63,13.85,broken clouds
95,Antofagasta,CL,2021-05-11 06:53:40,-23.65,-70.4,59.0,88,75,5.75,broken clouds
96,Necochea,AR,2021-05-11 06:53:40,-38.5473,-58.7368,50.59,71,29,9.13,scattered clouds
97,Rikitea,PF,2021-05-11 06:53:41,-23.1203,-134.9692,78.19,75,100,26.31,overcast clouds
98,Vardo,NO,2021-05-11 06:53:41,70.3705,31.1107,42.8,61,0,4.61,clear sky
99,Mount Pleasant,US,2021-05-11 06:53:41,32.7941,-79.8626,73.4,88,40,6.96,scattered clouds
100,Kupang,ID,2021-05-11 06:53:42,-10.1667,123.5833,89.6,43,20,20.71,few clouds
101,Thunder Bay,CA,2021-05-11 06:51:27,48.4001,-89.3168,35.01,100,20,3.44,few clouds
102,Santander,ES,2021-05-11 06:53:42,43.4647,-3.8044,53.01,71,20,6.91,few clouds
103,Hasaki,JP,2021-05-11 06:53:42,35.7333,140.8333,66.99,52,75,5.75,broken clouds
104,Palmer,US,2021-05-11 06:53:43,42.1584,-72.3287,50.0,57,20,5.75,few clouds
105,San Quintin,MX,2021-05-11 06:53:43,30.4833,-115.95,58.19,83,1,4.45,clear sky
106,Benguela,AO,2021-05-11 06:53:43,-12.5763,13.4055,79.63,76,2,2.51,clear sky
107,Leningradskiy,RU,2021-05-11 06:53:44,69.3833,178.4167,24.28,89,92,4.47,overcast clouds
108,Victoria,HK,2021-05-11 06:49:01,22.2855,114.1577,89.01,62,14,10.0,few clouds
109,Mitsamiouli,KM,2021-05-11 06:53:44,-11.3847,43.2844,81.12,60,100,16.53,overcast clouds
110,Pangnirtung,CA,2021-05-11 06:53:44,66.1451,-65.7125,24.85,92,97,1.14,overcast clouds
111,Newport,GB,2021-05-11 06:53:45,51.5877,-2.9984,51.01,93,90,8.08,overcast clouds
